"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"188","Create Tier","","partial","Tier","src/components/inventory/InventoryManagementModule.tsx:2342"
"189","Currency Display Preferences","","partial","Display Preferences","src/components/prices/PriceSettingsModal.tsx:1183"
"190","Current Folder:","","partial","Current","src/components/prices/PriceSettingsModal.tsx:623"
"191","Current Stock Qty","","partial","Current Qty","src/components/inventory/InventoryManagementModule.tsx:1934"
"192","Custom Currency Symbol","","partial","Custom","src/components/prices/PriceSettingsModal.tsx:1213"
"193","Custom OpenAI-Compatible API","","partial","Custom Compatible","src/components/settings/SystemManagementSettingsModule.tsx:931"
"194","Customer Account Details","","partial","Account","src/components/common/DeviceTagPrinterModal.tsx:276"
"195","Customer Account Roster","","partial","Account Roster","src/components/crm/CrmCustomerPortalModule.tsx:177"
"196","Customer Authorization Signature:","","partial","Authorization Signature","src/components/common/PrintableInvoiceModal.tsx:458"
"197","Customer Contact","","partial","Contact","src/components/pipeline/StatusPipelineView.tsx:800"
"198","Customer Digital Signature / Full Name","","partial","Digital Signature Full","src/components/portal/CustomerFacingWebPortal.tsx:970"
"199","Customer Not Repair (Declined)","","partial","Declined","src/components/common/WorkOrderStatusTimeline.tsx:429"
"200","Customer Notification Alert","","partial","tification Alert","src/components/common/CustomerNotificationModal.tsx:120"
"201","Customer Relationship Management & Self-Service Portal","","partial","Self Service Portal","src/components/crm/CrmCustomerPortalModule.tsx:141"
"202","Customer Repair Status Portal","","partial","Repair Portal","src/components/portal/CustomerFacingWebPortal.tsx:232"
"203","Customer Satisfaction Rating","","partial","Satisfaction Rating","src/components/followup/CompletedDeviceFollowUpModule.tsx:690"
"204","Customer Signature","","partial","Signature","src/components/common/PrintableInvoiceModal.tsx:460"
"205","Customers from new intake tickets will appear here.","","partial","s from new intake tickets will appear here","src/components/crm/CrmCustomerPortalModule.tsx:186"
"206","Customize automatic notification templates sent to customers for repair milestones (Finished, Ready for Pickup, Needs Attention, Pending Parts, Intake).","","partial","Customize automatic notification templates sent to customers for repair milestones Ready Pickup Needs Attention Intake","src/components/settings/SystemManagementSettingsModule.tsx:3026"
"207","Customize your store name and upload a shop logo. Saved details apply globally across the sidebar navigation, header, vouchers, invoices, and POS receipts.","","partial","Customize your store name and upload a shop logo details apply globally across the sidebar navigation header vouchers invoices receipts","src/components/settings/SystemManagementSettingsModule.tsx:1238"
"208","Dashboard sections","","partial","sections","src/components/dashboard/DashboardOverview.tsx:816"
"209","Date Issued:","","partial","Issued","src/components/common/PrintableInvoiceModal.tsx:253"
"210","Decline / Request Call","","partial","Decline Request","src/components/portal/CustomerFacingWebPortal.tsx:405"
"211","Decline / Request Callback","","partial","Decline Request back","src/components/portal/CustomerFacingWebPortal.tsx:812"
"212","Decline Estimate / Request Callback","","partial","Decline Request back","src/components/portal/CustomerFacingWebPortal.tsx:1019"
"213","Default Currency Symbol / Unit","","partial","Default Unit","src/components/settings/SystemManagementSettingsModule.tsx:2077"
"214","Default Labor Discount (%)","","partial","Default Labor","src/components/settings/SystemManagementSettingsModule.tsx:2113"
"215","Default Print Color Palette","","partial","Default Color Palette","src/components/settings/SystemManagementSettingsModule.tsx:2921"
"216","Default Technician Auto-Assignment","","partial","Default Auto Assignment","src/components/settings/SystemManagementSettingsModule.tsx:1811"
"217","Default Vendor RMA Turnaround (Days)","","partial","Default Turnaround Days","src/components/settings/SystemManagementSettingsModule.tsx:2595"
"218","Defect Description / Testing Notes","","partial","Defect Testing","src/components/suppliers/SupplierRmaModule.tsx:452"
"219","Delete Customer Account","","partial","Account","src/components/crm/CrmCustomerPortalModule.tsx:269"
"220","Delete Customer Records","","partial","Records","src/components/settings/SystemManagementSettingsModule.tsx:3792"
"221","Delete locked","","partial","locked","src/components/common/TicketDetailInspectorModal.tsx:196; src/components/common/TicketDetailInspectorModal.tsx:197; src/components/intake/IntakeWorkOrderModule.tsx:666; src/components/intake/IntakeWorkOrderModule.tsx:667; src/components/intake/IntakeWorkOrderModule.tsx:672"
"222","Delete Locked","","partial","Locked","src/components/pipeline/StatusPipelineView.tsx:786"
"223","Delete Parts & Stock","","partial","s","src/components/settings/SystemManagementSettingsModule.tsx:3774"
"224","Delete Permanently","","partial","Permanently","src/components/common/RecycleBinModal.tsx:204"
"225","Delete Template","","partial","Template","src/components/settings/SystemManagementSettingsModule.tsx:3188"
"226","Delete ticket","","partial","ticket","src/components/common/TicketDetailInspectorModal.tsx:182; src/components/common/TicketDetailInspectorModal.tsx:183; src/components/intake/IntakeWorkOrderModule.tsx:648; src/components/intake/IntakeWorkOrderModule.tsx:649; src/components/intake/IntakeWorkOrderModule.tsx:661"
"227","Delete Ticket (Admin Only)","","partial","Ticket Admin Only","src/components/pipeline/StatusPipelineView.tsx:778"
"228","Delete User Account","","partial","Account","src/components/settings/SystemManagementSettingsModule.tsx:1177"
"229","Delete Work Orders & Tasks","","partial","Tasks","src/components/settings/SystemManagementSettingsModule.tsx:3756"
"230","Deleted repair tickets are safely stored here. You can restore them anytime or permanently delete them.","","partial","d repair tickets are safely stored here You can restore them anytime or permanently delete","src/components/common/RecycleBinModal.tsx:64"
"231","Delivered / Taken Out","","partial","Delivered","src/components/followup/CompletedDeviceFollowUpModule.tsx:419"
"232","Description / Component","","partial","Component","src/components/portal/CustomerFacingWebPortal.tsx:752"
"233","Description & Payee","","partial","Payee","src/components/finance/ShopFinancePlModule.tsx:711"
